completion,prompt
joy,i feel some of my projects are clever and useful enough i figured i would start sharing them on instructables so i wrote my first one this weekend
sadness,i had continued to think along those lines i probably would have done the dishes in anger and when he got up wed have had a fight about that with me feeling completely abused
fear,i didnt feel especially nervous in finland but when we landed in paris i was a little unsure about what would be ahead of us thought st grade student janne suominen
anger,i do feel envious of those with kids at certain moments
sadness,i was feeling like a pretty crappy mom
anger,im feeling pissed off about my aac or feeling kind of miserable and frustrated with life this whole week
joy,im not scared at all anymore im fine i feel terrific about the surgery
fear,i still feel vulnerable around him
surprise,i honestly am not sure how i feel stunned
love,i feel when you are a caring person you attract other caring people into your life
sadness,im then left feeling quite embarrassed as i say that nothings new
sadness,i feel unwelcome and out of place buti cant decide if i am just too scared to do anything about this ok situation or if i am staying here in this dead end situation because i am afraid things will get worse
joy,i may or may not have cried when thanking them for making my children feel so special and loved
surprise,i really want to go buy some yardage of art gallery just to play with because it feels so amazing
love,i feel like shes losing her sense of self to adapt to what she thinks he will be loyal to
sadness,i feel burdened for several loved ones and i miss my big kid whom i havent seen since friday
sadness,i feel is still really low in my abdomen
joy,i feel like i ve been welcomed a tight knit family who ll make sure i won t feel alone ever
